,title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
802,GUMMO,6ix9ine,emo rap,2018.0,2020‑06‑22,157.0,78.0,66.0,-5.0,13.0,64.0,158.0,6.0,17.0,67.0,2018.0,Solo
803,God is a woman,Ariana Grande,dance pop,2018.0,2020‑06‑22,145.0,66.0,60.0,-6.0,24.0,27.0,198.0,2.0,6.0,83.0,2018.0,Solo
804,no tears left to cry,Ariana Grande,dance pop,2018.0,2020‑06‑22,122.0,71.0,70.0,-6.0,29.0,35.0,206.0,4.0,6.0,82.0,2018.0,Solo
807,Mine,Bazzi,dance pop,2018.0,2020‑06‑22,143.0,79.0,71.0,-4.0,45.0,72.0,131.0,2.0,7.0,80.0,2018.0,Solo
809,lovely (with Khalid),Billie Eilish,art pop,2018.0,2020‑06‑22,115.0,30.0,35.0,-10.0,10.0,12.0,200.0,93.0,3.0,91.0,2018.0,Solo
810,Look Alive (feat. Drake),BlocBoy JB,memphis hip hop,2018.0,2020‑06‑22,140.0,58.0,92.0,-7.0,11.0,60.0,181.0,0.0,27.0,78.0,2018.0,Solo
811,Finesse - Remix; feat. Cardi B,Bruno Mars,dance pop,2017.0,2020‑06‑22,105.0,86.0,70.0,-5.0,2.0,93.0,217.0,2.0,10.0,78.0,2018.0,Solo
812,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018.0,2020‑06‑22,124.0,86.0,79.0,-3.0,8.0,59.0,215.0,4.0,11.0,86.0,2018.0,Solo
813,Never Be the Same,Camila Cabello,dance pop,2018.0,2020‑06‑22,130.0,71.0,64.0,-4.0,14.0,24.0,227.0,18.0,7.0,79.0,2018.0,Solo
814,I Like It,Cardi B,dance pop,2018.0,2020‑06‑22,136.0,73.0,82.0,-4.0,37.0,65.0,253.0,10.0,13.0,83.0,2018.0,Solo
815,Bodak Yellow,Cardi B,dance pop,2018.0,2020‑06‑22,125.0,70.0,93.0,-6.0,23.0,49.0,224.0,7.0,10.0,77.0,2018.0,Solo
816,Be Careful,Cardi B,dance pop,2018.0,2020‑06‑22,152.0,57.0,82.0,-8.0,10.0,54.0,211.0,3.0,41.0,72.0,2018.0,Solo
818,How Long,Charlie Puth,dance pop,2018.0,2020‑06‑22,110.0,56.0,85.0,-5.0,4.0,81.0,201.0,21.0,8.0,77.0,2018.0,Solo
819,Done for Me (feat. Kehlani),Charlie Puth,dance pop,2018.0,2021‑08‑17,112.0,63.0,86.0,-4.0,7.0,70.0,180.0,19.0,7.0,72.0,2018.0,Solo
820,The Way I Am,Charlie Puth,dance pop,2018.0,2021‑08‑17,115.0,77.0,76.0,-6.0,6.0,64.0,186.0,31.0,19.0,68.0,2018.0,Solo
821,This Is America,Childish Gambino,atl hip hop,2018.0,2020‑06‑22,120.0,46.0,85.0,-6.0,35.0,55.0,226.0,12.0,14.0,75.0,2018.0,Solo
824,No Brainer,DJ Khaled,dance pop,2018.0,2020‑06‑22,136.0,76.0,55.0,-5.0,9.0,64.0,260.0,7.0,34.0,71.0,2018.0,Solo
826,Nonstop,Drake,canadian hip hop,2018.0,2020‑06‑22,155.0,41.0,91.0,-8.0,10.0,42.0,239.0,2.0,12.0,82.0,2018.0,Solo
829,I'm Upset,Drake,canadian hip hop,2018.0,2020‑06‑22,150.0,59.0,90.0,-8.0,8.0,49.0,214.0,28.0,34.0,73.0,2018.0,Solo
831,In My Mind,Dynoro,edm,2018.0,2020‑06‑22,126.0,77.0,69.0,-5.0,12.0,16.0,185.0,18.0,15.0,83.0,2018.0,Solo
835,German,EO,afroswing,2018.0,2020‑06‑22,103.0,58.0,86.0,-6.0,19.0,85.0,171.0,81.0,7.0,71.0,2018.0,Solo
836,Let's Fall in Love for the Night,FINNEAS,alt z,2018.0,2021‑06‑15,128.0,41.0,74.0,-8.0,17.0,37.0,190.0,80.0,10.0,77.0,2018.0,Solo
839,Shotgun,George Ezra,folk-pop,2018.0,2020‑06‑22,116.0,74.0,67.0,-5.0,24.0,75.0,201.0,29.0,5.0,81.0,2018.0,Solo
840,Paradise,George Ezra,folk-pop,2018.0,2020‑06‑22,138.0,88.0,64.0,-4.0,21.0,91.0,222.0,21.0,4.0,73.0,2018.0,Solo
841,we fell in love in october,girl in red,bedroom pop,2018.0,2021‑03‑02,130.0,37.0,57.0,-13.0,16.0,24.0,184.0,11.0,3.0,88.0,2018.0,Solo
842,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2017.0,2020‑06‑22,103.0,71.0,66.0,-4.0,8.0,74.0,175.0,3.0,5.0,81.0,2018.0,Solo
843,Bad At Love,Halsey,dance pop,2017.0,2020‑06‑22,118.0,75.0,68.0,-4.0,9.0,61.0,181.0,6.0,3.0,77.0,2018.0,Solo
846,Make Me Feel,Janelle Monáe,afrofuturism,2018.0,2021‑06‑15,115.0,41.0,86.0,-7.0,33.0,70.0,194.0,13.0,18.0,68.0,2018.0,Solo
847,You Make It Easy,Jason Aldean,contemporary country,2018.0,2020‑06‑22,132.0,57.0,38.0,-5.0,11.0,41.0,197.0,14.0,3.0,74.0,2018.0,Solo
848,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,2018.0,2020‑06‑22,137.0,71.0,65.0,-5.0,13.0,38.0,230.0,0.0,30.0,76.0,2018.0,Solo
849,Rise,Jonas Blue,dance pop,2018.0,2020‑06‑22,106.0,79.0,69.0,-5.0,20.0,66.0,194.0,33.0,3.0,74.0,2018.0,Solo
851,LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017.0,2020‑08‑11,126.0,59.0,80.0,-7.0,15.0,78.0,213.0,26.0,9.0,85.0,2018.0,Solo
853,Love Lies (with Normani),Khalid,pop,2018.0,2020‑06‑22,144.0,65.0,71.0,-6.0,13.0,34.0,202.0,10.0,4.0,78.0,2018.0,Solo
856,Yes Indeed,Lil Baby,atl hip hop,2018.0,2020‑06‑22,120.0,35.0,96.0,-9.0,11.0,56.0,142.0,4.0,53.0,84.0,2018.0,Solo
857,Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,2018.0,2020‑06‑22,133.0,60.0,76.0,-5.0,11.0,76.0,217.0,15.0,22.0,74.0,2018.0,Solo
858,Everyday,Logic,conscious hip hop,2018.0,2021‑08‑17,150.0,74.0,67.0,-4.0,8.0,42.0,205.0,4.0,4.0,74.0,2018.0,Solo
862,Corazón (feat. Nego do Borel),Maluma,latin,2018.0,2020‑06‑22,198.0,74.0,72.0,-6.0,20.0,75.0,185.0,33.0,25.0,74.0,2018.0,Solo
865,Silence,Marshmello,brostep,2017.0,2020‑06‑22,142.0,76.0,52.0,-3.0,17.0,29.0,181.0,26.0,9.0,84.0,2018.0,Solo
867,Spotlight,Marshmello,brostep,2018.0,2021‑08‑17,150.0,82.0,55.0,-4.0,74.0,62.0,178.0,1.0,15.0,76.0,2018.0,Solo
871,17,MK,dance pop,2017.0,2020‑06‑22,122.0,83.0,70.0,-7.0,7.0,67.0,196.0,0.0,7.0,69.0,2018.0,Solo
872,Let You Down,NF,hip hop,2017.0,2020‑06‑22,148.0,71.0,66.0,-6.0,18.0,46.0,212.0,31.0,12.0,84.0,2018.0,Solo
877,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018.0,2020‑06‑22,160.0,52.0,59.0,-6.0,13.0,13.0,218.0,12.0,7.0,87.0,2018.0,Solo
878,Better Now,Post Malone,dfw rap,2018.0,2020‑06‑22,145.0,58.0,68.0,-6.0,14.0,34.0,231.0,33.0,4.0,84.0,2018.0,Solo
879,Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018.0,2020‑06‑22,140.0,56.0,75.0,-8.0,11.0,46.0,221.0,55.0,11.0,82.0,2018.0,Solo
882,Mo Bamba,Sheck Wes,rap,2018.0,2020‑08‑11,146.0,63.0,73.0,-5.0,25.0,26.0,184.0,19.0,3.0,81.0,2018.0,Solo
883,Strangers,Sigrid,dance pop,2019.0,2020‑06‑22,115.0,72.0,76.0,-6.0,8.0,13.0,234.0,1.0,4.0,64.0,2018.0,Solo
888,Call Out My Name,The Weeknd,canadian contemporary r&b,2018.0,2020‑06‑22,134.0,59.0,46.0,-5.0,31.0,18.0,228.0,17.0,4.0,85.0,2018.0,Solo
889,Pray For Me (with Kendrick Lamar),The Weeknd,canadian contemporary r&b,2018.0,2020‑06‑22,101.0,68.0,74.0,-5.0,11.0,19.0,211.0,8.0,9.0,74.0,2018.0,Solo
890,Jackie Chan,Tiësto,big room,2018.0,2020‑06‑22,128.0,83.0,75.0,-3.0,6.0,69.0,216.0,37.0,5.0,76.0,2018.0,Solo
891,SICKO MODE,Travis Scott,hip hop,2018.0,2020‑06‑22,155.0,73.0,83.0,-4.0,12.0,45.0,313.0,1.0,22.0,86.0,2018.0,Solo
895,Moonlight,XXXTENTACION,emo rap,2018.0,2020‑06‑22,128.0,54.0,92.0,-6.0,10.0,71.0,135.0,56.0,8.0,87.0,2018.0,Solo
898,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,cali rap,2018.0,2020‑06‑22,204.0,35.0,75.0,-8.0,9.0,11.0,237.0,1.0,33.0,73.0,2018.0,Solo
899,The Middle,Zedd,complextro,2018.0,2020‑06‑22,107.0,66.0,75.0,-3.0,11.0,44.0,185.0,17.0,4.0,84.0,2018.0,Solo
900,a lot,21 Savage,atl hip hop,2018.0,2020‑06‑22,146.0,64.0,84.0,-8.0,34.0,27.0,289.0,4.0,9.0,83.0,2019.0,Solo
904,Ladbroke Grove,AJ Tracey,grime,2019.0,2020‑08‑20,134.0,84.0,90.0,-9.0,10.0,73.0,191.0,9.0,21.0,73.0,2019.0,Solo
905,China,Anuel AA,latin,2019.0,2020‑06‑22,105.0,81.0,79.0,-4.0,8.0,61.0,302.0,8.0,9.0,80.0,2019.0,Solo
907,7 rings,Ariana Grande,dance pop,2019.0,2020‑06‑22,140.0,32.0,78.0,-11.0,9.0,33.0,179.0,59.0,33.0,88.0,2019.0,Solo
908,"thank u, next",Ariana Grande,dance pop,2019.0,2020‑06‑22,107.0,65.0,72.0,-6.0,10.0,41.0,207.0,23.0,7.0,85.0,2019.0,Solo
909,"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019.0,2020‑06‑22,170.0,55.0,73.0,-5.0,11.0,34.0,190.0,4.0,9.0,81.0,2019.0,Solo
910,boyfriend (with Social House),Ariana Grande,dance pop,2019.0,2020‑06‑22,190.0,80.0,40.0,-4.0,16.0,70.0,186.0,12.0,46.0,81.0,2019.0,Solo
911,On A Roll,Ashley O,pop,2019.0,2020‑06‑22,125.0,81.0,74.0,-6.0,5.0,39.0,154.0,8.0,9.0,62.0,2019.0,Solo
912,Callaita,Bad Bunny,latin,2019.0,2020‑06‑22,176.0,62.0,61.0,-5.0,24.0,24.0,251.0,60.0,31.0,86.0,2019.0,Solo
914,lovely (with Khalid),Billie Eilish,art pop,2018.0,2020‑06‑22,115.0,30.0,35.0,-10.0,10.0,12.0,200.0,93.0,3.0,91.0,2019.0,Solo
915,bad guy,Billie Eilish,art pop,2019.0,2020‑06‑22,135.0,43.0,70.0,-11.0,10.0,56.0,194.0,33.0,38.0,88.0,2019.0,Solo
917,bury a friend,Billie Eilish,art pop,2019.0,2020‑06‑22,120.0,39.0,91.0,-15.0,11.0,20.0,193.0,74.0,33.0,80.0,2019.0,Solo
920,Thotiana,Blueface,cali rap,2018.0,2020‑06‑22,104.0,38.0,91.0,-13.0,11.0,39.0,129.0,18.0,27.0,71.0,2019.0,Solo
922,Please Me,Cardi B,dance pop,2019.0,2020‑06‑22,134.0,57.0,75.0,-7.0,8.0,65.0,201.0,6.0,8.0,79.0,2019.0,Solo
923,Money,Cardi B,dance pop,2018.0,2020‑06‑22,130.0,59.0,95.0,-7.0,11.0,22.0,184.0,1.0,29.0,78.0,2019.0,Solo
925,Location (feat. Burna Boy),Dave,uk hip hop,2019.0,2020‑06‑22,110.0,50.0,81.0,-6.0,10.0,55.0,241.0,27.0,30.0,81.0,2019.0,Solo
926,Juicy,Doja Cat,dance pop,2019.0,2020‑06‑22,170.0,66.0,79.0,-3.0,7.0,46.0,202.0,9.0,7.0,62.0,2019.0,Solo
927,3 Nights,Dominic Fike,alternative pop rock,2018.0,2020‑06‑22,152.0,52.0,82.0,-7.0,10.0,88.0,178.0,22.0,9.0,84.0,2019.0,Solo
928,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,2019.0,2020‑06‑22,101.0,50.0,83.0,-4.0,12.0,10.0,205.0,10.0,5.0,82.0,2019.0,Solo
929,Don't Start Now,Dua Lipa,dance pop,2019.0,2020‑06‑22,124.0,79.0,79.0,-5.0,10.0,68.0,183.0,1.0,8.0,84.0,2019.0,Solo
930,Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,2019.0,2020‑06‑22,138.0,76.0,89.0,-6.0,16.0,61.0,190.0,22.0,22.0,71.0,2019.0,Solo
932,Antisocial (with Travis Scott),Ed Sheeran,pop,2019.0,2020‑06‑22,152.0,82.0,72.0,-5.0,36.0,91.0,162.0,13.0,5.0,68.0,2019.0,Solo
933,Leave Me Alone,Flipp Dinero,melodic rap,2019.0,2020‑06‑22,150.0,74.0,79.0,-3.0,18.0,74.0,196.0,11.0,9.0,75.0,2019.0,Solo
934,Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,2019.0,2021‑10‑28,101.0,67.0,66.0,-12.0,12.0,17.0,202.0,9.0,4.0,89.0,2019.0,Solo
935,Without Me,Halsey,dance pop,2018.0,2020‑06‑22,136.0,49.0,75.0,-7.0,9.0,53.0,202.0,30.0,7.0,82.0,2019.0,Solo
938,MIDDLE CHILD,J. Cole,conscious hip hop,2019.0,2020‑06‑22,124.0,36.0,84.0,-12.0,27.0,46.0,214.0,15.0,28.0,85.0,2019.0,Solo
939,All Day And Night,Jax Jones,dance pop,2019.0,2020‑06‑22,122.0,78.0,59.0,-4.0,16.0,52.0,169.0,27.0,9.0,64.0,2019.0,Solo
940,Sorry,Joel Corry,dance pop,2019.0,2020‑06‑22,125.0,79.0,74.0,-5.0,32.0,85.0,189.0,5.0,6.0,68.0,2019.0,Solo
944,Good as You,Kane Brown,black americana,2019.0,2020‑06‑22,154.0,52.0,63.0,-6.0,14.0,77.0,192.0,40.0,4.0,70.0,2019.0,Solo
945,Nights Like This (feat. Ty Dolla $ign),Kehlani,dance pop,2019.0,2020‑06‑22,146.0,73.0,61.0,-5.0,15.0,29.0,202.0,37.0,15.0,80.0,2019.0,Solo
947,Talk (feat. Disclosure),Khalid,pop,2019.0,2020‑06‑22,136.0,40.0,90.0,-9.0,6.0,35.0,198.0,5.0,13.0,76.0,2019.0,Solo
950,Doin' Time,Lana Del Rey,art pop,2019.0,2020‑06‑22,145.0,56.0,64.0,-11.0,9.0,52.0,202.0,40.0,4.0,83.0,2019.0,Solo
951,i'm so tired...,Lauv,dance pop,2020.0,2020‑06‑22,102.0,73.0,60.0,-7.0,24.0,53.0,163.0,18.0,20.0,81.0,2019.0,Solo
952,Someone You Loved,Lewis Capaldi,pop,2019.0,2020‑06‑22,110.0,41.0,50.0,-6.0,11.0,45.0,182.0,75.0,3.0,89.0,2019.0,Solo
953,Grace,Lewis Capaldi,pop,2019.0,2020‑06‑22,104.0,56.0,72.0,-6.0,17.0,49.0,186.0,44.0,3.0,72.0,2019.0,Solo
954,Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019.0,2020‑06‑22,136.0,62.0,88.0,-6.0,11.0,64.0,157.0,5.0,10.0,83.0,2019.0,Solo
955,Old Town Road,Lil Nas X,lgbtq+ hip hop,2019.0,2020‑06‑22,136.0,53.0,91.0,-6.0,10.0,51.0,113.0,6.0,13.0,80.0,2019.0,Solo
956,Panini,Lil Nas X,lgbtq+ hip hop,2019.0,2020‑06‑22,154.0,59.0,70.0,-6.0,12.0,48.0,115.0,34.0,8.0,76.0,2019.0,Solo
957,Ransom,Lil Tecca,melodic rap,2019.0,2020‑06‑22,180.0,64.0,75.0,-6.0,7.0,23.0,131.0,2.0,29.0,83.0,2019.0,Solo
958,Truth Hurts,Lizzo,dance pop,2019.0,2020‑06‑22,158.0,62.0,72.0,-3.0,12.0,41.0,173.0,11.0,11.0,80.0,2019.0,Solo
961,Light On,Maggie Rogers,indie pop,2019.0,2020‑06‑22,102.0,57.0,66.0,-6.0,13.0,40.0,234.0,20.0,5.0,72.0,2019.0,Solo
962,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018.0,2020‑06‑22,114.0,79.0,60.0,-6.0,39.0,24.0,217.0,1.0,7.0,84.0,2019.0,Solo
968,Slide Away,Miley Cyrus,dance pop,2019.0,2020‑06‑22,148.0,54.0,53.0,-7.0,25.0,29.0,234.0,17.0,3.0,74.0,2019.0,Solo
969,Pure Water (with Migos),Mustard,cali rap,2019.0,2020‑06‑22,202.0,56.0,68.0,-6.0,34.0,14.0,192.0,17.0,13.0,80.0,2019.0,Solo
970,Shotta Flow (feat. Blueface) [Remix],NLE Choppa,memphis hip hop,2019.0,2020‑06‑22,120.0,51.0,89.0,-5.0,14.0,57.0,177.0,3.0,42.0,74.0,2019.0,Solo
971,Motivation,Normani,dance pop,2019.0,2020‑06‑22,171.0,89.0,60.0,-4.0,30.0,88.0,194.0,2.0,10.0,76.0,2019.0,Solo
973,Clout (feat. Cardi B),Offset,atl hip hop,2019.0,2020‑06‑22,140.0,62.0,92.0,-7.0,12.0,42.0,206.0,23.0,10.0,73.0,2019.0,Solo
975,Adan y Eva,Paulo Londra,argentine hip hop,2019.0,2020‑06‑22,172.0,71.0,77.0,-4.0,7.0,72.0,257.0,32.0,34.0,76.0,2019.0,Solo
976,Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019.0,2020‑06‑22,168.0,64.0,77.0,-7.0,7.0,26.0,167.0,15.0,47.0,83.0,2019.0,Solo
977,Circles,Post Malone,dfw rap,2019.0,2020‑06‑22,120.0,76.0,70.0,-3.0,9.0,55.0,215.0,19.0,4.0,89.0,2019.0,Solo
978,Better Now,Post Malone,dfw rap,2018.0,2020‑06‑22,145.0,58.0,68.0,-6.0,14.0,34.0,231.0,33.0,4.0,84.0,2019.0,Solo
981,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019.0,2020‑06‑22,150.0,65.0,55.0,-4.0,10.0,16.0,175.0,46.0,8.0,82.0,2019.0,Solo
983,Ride It,Regard,dance pop,2019.0,2020‑06‑22,118.0,75.0,88.0,-4.0,11.0,88.0,158.0,18.0,9.0,85.0,2019.0,Solo
984,Keisha & Becky - Remix,Russ Millions,uk drill,2019.0,2020‑08‑20,141.0,47.0,86.0,-10.0,12.0,64.0,253.0,25.0,48.0,73.0,2019.0,Solo
985,Post Malone (feat. RANI),Sam Feldt,dance pop,2019.0,2020‑06‑22,107.0,64.0,59.0,-4.0,11.0,65.0,174.0,8.0,12.0,74.0,2019.0,Solo
986,My Type,Saweetie,cali rap,2019.0,2020‑06‑22,105.0,81.0,90.0,-6.0,7.0,59.0,126.0,0.0,26.0,76.0,2019.0,Solo
987,Otro Trago,Sech,latin,2019.0,2020‑06‑22,176.0,70.0,75.0,-5.0,11.0,62.0,226.0,14.0,34.0,76.0,2019.0,Solo
988,Señorita,Shawn Mendes,canadian pop,2019.0,2020‑06‑22,117.0,55.0,76.0,-6.0,8.0,75.0,191.0,4.0,3.0,83.0,2019.0,Solo
989,If I Can't Have You,Shawn Mendes,canadian pop,2019.0,2020‑06‑22,124.0,81.0,69.0,-4.0,15.0,86.0,191.0,52.0,6.0,78.0,2019.0,Solo
990,Don’t Feel Like Crying,Sigrid,dance pop,2019.0,2020‑06‑22,120.0,81.0,75.0,-4.0,7.0,72.0,157.0,16.0,4.0,56.0,2019.0,Solo
991,Vossi Bop,Stormzy,grime,2019.0,2020‑06‑22,188.0,65.0,68.0,-6.0,13.0,43.0,196.0,13.0,34.0,69.0,2019.0,Solo
993,Cruel Summer,Taylor Swift,pop,2019.0,2021‑08‑17,170.0,70.0,55.0,-6.0,11.0,56.0,178.0,12.0,16.0,82.0,2019.0,Solo
995,SICKO MODE,Travis Scott,hip hop,2018.0,2020‑06‑22,155.0,73.0,83.0,-4.0,12.0,45.0,313.0,1.0,22.0,86.0,2019.0,Solo
997,Boasty (feat. Idris Elba),Wiley,grime,2019.0,2020‑06‑22,103.0,77.0,89.0,-5.0,9.0,46.0,177.0,1.0,7.0,68.0,2019.0,Solo
